WL,O2Hb,HHb,H2O,Lipids
600,0.736960,3.380159,0.000230,0.000466
601,0.675240,3.258699,0.000234,0.000471
602,0.613519,3.137239,0.000238,0.000479
603,0.551799,3.015779,0.000242,0.000487
604,0.490078,2.894318,0.000245,0.000487
605,0.451066,2.772904,0.000248,0.000484
606,0.412053,2.651490,0.000251,0.000480
607,0.395748,2.532241,0.000254,0.000475
608,0.379442,2.412991,0.000256,0.000470
609,0.363137,2.293926,0.000258,0.000469
610,0.346832,2.174861,0.000260,0.000464
611,0.330527,2.076707,0.000262,0.000458
612,0.314221,1.978553,0.000264,0.000454
613,0.297916,1.883071,0.000266,0.000442
614,0.281611,1.787589,0.000268,0.000427
615,0.268622,1.739548,0.000270,0.000422
616,0.255633,1.691507,0.000271,0.000423
617,0.245960,1.643421,0.000272,0.000430
618,0.236288,1.595334,0.000273,0.000437
619,0.226615,1.547248,0.000274,0.000435
620,0.216943,1.499161,0.000275,0.000430
621,0.207270,1.462727,0.000276,0.000425
622,0.197597,1.426294,0.000277,0.000433
623,0.187925,1.393315,0.000278,0.000440
624,0.178252,1.360336,0.000279,0.000438
625,0.170606,1.327311,0.000280,0.000432
626,0.162960,1.294286,0.000281,0.000426
627,0.157341,1.265130,0.000282,0.000424
628,0.151722,1.235974,0.000282,0.000426
629,0.146102,1.210871,0.000283,0.000428
630,0.140483,1.185769,0.000284,0.000428
631,0.134864,1.160666,0.000285,0.000429
632,0.129244,1.135563,0.000286,0.000437
633,0.123625,1.112533,0.000287,0.000444
634,0.118006,1.089503,0.000288,0.000440
635,0.114137,1.074718,0.000289,0.000431
636,0.110268,1.059933,0.000290,0.000420
637,0.108149,1.045101,0.000292,0.000422
638,0.106030,1.030270,0.000293,0.000433
639,0.103911,1.015485,0.000295,0.000446
640,0.101793,1.000700,0.000296,0.000452
641,0.099674,0.985914,0.000298,0.000450
642,0.097555,0.971129,0.000299,0.000449
643,0.095436,0.956344,0.000302,0.000453
644,0.093318,0.941559,0.000304,0.000460
645,0.091613,0.927358,0.000306,0.000465
646,0.089909,0.913158,0.000308,0.000464
647,0.088619,0.900782,0.000311,0.000464
648,0.087330,0.888405,0.000314,0.000464
649,0.086040,0.876029,0.000317,0.000465
650,0.084750,0.863653,0.000320,0.000471
651,0.083461,0.851276,0.000324,0.000472
652,0.082171,0.838900,0.000327,0.000467
653,0.080881,0.826524,0.000331,0.000464
654,0.079592,0.814147,0.000335,0.000457
655,0.078394,0.801771,0.000339,0.000448
656,0.077197,0.789395,0.000343,0.000438
657,0.076091,0.777018,0.000348,0.000428
658,0.074986,0.764642,0.000352,0.000424
659,0.074295,0.753859,0.000357,0.000422
660,0.073604,0.743077,0.000361,0.000418
661,0.072959,0.733142,0.000365,0.000414
662,0.072314,0.723206,0.000369,0.000413
663,0.071669,0.713267,0.000374,0.000414
664,0.071025,0.703327,0.000378,0.000419
665,0.070380,0.693392,0.000382,0.000428
666,0.069735,0.683457,0.000386,0.000439
667,0.069182,0.673522,0.000390,0.000447
668,0.068629,0.663586,0.000394,0.000452
669,0.068169,0.653651,0.000398,0.000453
670,0.067708,0.643716,0.000401,0.000450
671,0.067248,0.633781,0.000405,0.000452
672,0.066787,0.623846,0.000408,0.000457
